
   INFO  Server running on [http://127.0.0.1:8125].  

  Press Ctrl+C to stop the server
  2026-09-19 14:19:18 /build/assets/app-D77v-98-.css ............... ~ 3.00ms
  2026-09-19 14:19:18 /legal/acceptable-use ...................... ~ 512.50ms
  2026-09-19 14:19:19 /build/assets/app-D77v-98-.css ............... ~ 0.51ms
  2026-09-19 14:19:19 /build/assets/app-D8MKG-Ji.js ................ ~ 1.79ms
  2026-09-19 14:19:19 /legal/cookie-policy ....................... ~ 514.23ms
  2026-09-19 14:19:20 /build/assets/app-D77v-98-.css ............... ~ 0.37ms
  2026-09-19 14:19:20 /build/assets/app-D8MKG-Ji.js ................ ~ 1.69ms
  2026-09-19 14:19:20 /contact ......................................... ~ 1s
  2026-09-19 14:19:21 /build/assets/app-D77v-98-.css ............... ~ 0.83ms
  2026-09-19 14:19:21 /build/assets/app-D8MKG-Ji.js ................ ~ 4.71ms
  2026-09-19 14:19:22 /contact ......................................... ~ 2s
  2026-09-19 14:19:25 /contact ......................................... ~ 1s
  2026-09-19 14:19:26 /build/assets/app-D77v-98-.css ............... ~ 0.46ms
  2026-09-19 14:19:26 /build/assets/app-D8MKG-Ji.js ................ ~ 2.04ms
  2026-09-19 14:25:18 /faq ............................................. ~ 1s
  2026-09-19 14:25:20 /build/assets/app-D77v-98-.css ............... ~ 4.61ms
  2026-09-19 14:25:20 /build/assets/app-D8MKG-Ji.js ............... ~ 16.05ms
  2026-09-19 14:25:39 / ................................................ ~ 1s
  2026-09-19 14:25:40 /build/assets/app-D77v-98-.css ............... ~ 0.34ms
  2026-09-19 14:25:40 /build/assets/app-D8MKG-Ji.js ................ ~ 1.64ms
  2026-09-19 14:25:41 / ................................................ ~ 1s
  2026-09-19 14:25:42 /build/assets/app-D77v-98-.css ............... ~ 0.57ms
  2026-09-19 14:25:42 /build/assets/app-D8MKG-Ji.js ................ ~ 2.85ms
  2026-09-19 14:25:43 /services .................................. ~ 502.18ms
  2026-09-19 14:25:43 /build/assets/app-D77v-98-.css ............... ~ 0.35ms
  2026-09-19 14:25:43 /build/assets/app-D8MKG-Ji.js ................ ~ 4.39ms
  2026-09-19 14:25:43 /pricing ................................... ~ 573.38ms
  2026-09-19 14:25:44 /build/assets/app-D77v-98-.css ............... ~ 0.62ms
  2026-09-19 14:25:44 /build/assets/app-D8MKG-Ji.js ................ ~ 6.89ms
  2026-09-19 14:25:44 /how-it-works .................................... ~ 1s
  2026-09-19 14:25:45 /build/assets/app-D77v-98-.css ............... ~ 0.76ms
  2026-09-19 14:25:45 /build/assets/app-D8MKG-Ji.js ................ ~ 4.76ms
  2026-09-19 14:25:45 /why-growza ...................................... ~ 1s
  2026-09-19 14:25:46 /build/assets/app-D77v-98-.css ............... ~ 0.54ms
  2026-09-19 14:25:46 /build/assets/app-D8MKG-Ji.js ................ ~ 5.90ms
  2026-09-19 14:25:46 /faq ............................................. ~ 1s
  2026-09-19 14:25:48 /build/assets/app-D77v-98-.css ............... ~ 0.67ms
  2026-09-19 14:25:48 /build/assets/app-D8MKG-Ji.js ................ ~ 4.77ms
  2026-09-19 14:25:48 /contact ......................................... ~ 1s
  2026-09-19 14:25:49 /build/assets/app-D77v-98-.css ............... ~ 0.55ms
  2026-09-19 14:25:49 /build/assets/app-D8MKG-Ji.js ................ ~ 3.32ms
  2026-09-19 14:25:49 /legal/terms ..................................... ~ 1s
  2026-09-19 14:25:50 /build/assets/app-D77v-98-.css ............... ~ 0.89ms
  2026-09-19 14:25:50 /build/assets/app-D8MKG-Ji.js ................ ~ 6.10ms
  2026-09-19 14:25:51 /legal/privacy ............................. ~ 510.27ms
  2026-09-19 14:25:51 /build/assets/app-D77v-98-.css ............... ~ 0.32ms
  2026-09-19 14:25:51 /build/assets/app-D8MKG-Ji.js ................ ~ 2.23ms
  2026-09-19 14:25:51 /legal/refund-policy ....................... ~ 504.28ms
  2026-09-19 14:25:52 /build/assets/app-D77v-98-.css ............... ~ 0.64ms
  2026-09-19 14:25:52 /build/assets/app-D8MKG-Ji.js ................ ~ 2.63ms
  2026-09-19 14:25:52 /legal/acceptable-use ...................... ~ 516.09ms
  2026-09-19 14:25:53 /build/assets/app-D77v-98-.css ............... ~ 0.46ms
  2026-09-19 14:25:53 /build/assets/app-D8MKG-Ji.js ................ ~ 5.39ms
  2026-09-19 14:25:53 /legal/cookie-policy ....................... ~ 504.97ms
  2026-09-19 14:25:53 /build/assets/app-D77v-98-.css ............... ~ 0.28ms
  2026-09-19 14:25:53 /build/assets/app-D8MKG-Ji.js ................ ~ 1.70ms
  2026-09-19 14:25:53 /contact ................................... ~ 503.56ms
  2026-09-19 14:25:54 /build/assets/app-D77v-98-.css ............... ~ 0.50ms
  2026-09-19 14:25:54 /build/assets/app-D8MKG-Ji.js ................ ~ 8.46ms
  2026-09-19 14:25:54 /contact ......................................... ~ 1s
  2026-09-19 14:25:55 /contact ................................... ~ 555.73ms
  2026-09-19 14:25:56 /build/assets/app-D77v-98-.css ............... ~ 0.49ms
  2026-09-19 14:25:56 /build/assets/app-D8MKG-Ji.js ................ ~ 2.35ms
  2026-09-19 14:30:48 /services ........................................ ~ 1s
  2026-09-19 14:30:49 /build/assets/app-D77v-98-.css ............... ~ 0.73ms
  2026-09-19 14:30:49 /build/assets/app-D8MKG-Ji.js ................ ~ 3.34ms
  2026-09-19 14:32:31 /pricing ......................................... ~ 1s
  2026-09-19 14:32:33 /build/assets/app-D77v-98-.css ............... ~ 0.61ms
  2026-09-19 14:32:33 /build/assets/app-D8MKG-Ji.js ................ ~ 2.65ms
  2026-09-19 14:33:13 /register ........................................ ~ 4s
  2026-09-19 14:33:27 /how-it-works .............................. ~ 524.29ms
  2026-09-19 14:33:28 /build/assets/app-D77v-98-.css ............... ~ 2.01ms
  2026-09-19 14:33:28 /build/assets/app-D8MKG-Ji.js ............... ~ 68.48ms
  2026-09-19 14:33:52 /how-it-works .................................... ~ 1s
  2026-09-19 14:33:54 /build/assets/app-D77v-98-.css ............... ~ 0.51ms
  2026-09-19 14:33:54 /build/assets/app-D8MKG-Ji.js ............... ~ 14.61ms
  2026-09-19 14:34:02 /faq ............................................. ~ 1s
  2026-09-19 14:34:03 /build/assets/app-D8MKG-Ji.js ................ ~ 0.44ms
  2026-09-19 14:34:03 /build/assets/app-D77v-98-.css ............... ~ 2.42ms
  2026-09-19 14:34:34 /login ........................................... ~ 2s
  2026-09-19 14:34:54 /why-growza ...................................... ~ 1s
  2026-09-19 14:34:55 /build/assets/app-D77v-98-.css ............... ~ 0.59ms
  2026-09-19 14:34:55 /build/assets/app-D8MKG-Ji.js ................ ~ 3.95ms
  2026-09-19 14:35:15 / ................................................ ~ 1s
  2026-09-19 14:35:17 /build/assets/app-D77v-98-.css ............... ~ 0.72ms
  2026-09-19 14:35:17 /build/assets/app-D8MKG-Ji.js ................ ~ 5.66ms
  2026-09-19 14:40:23 /how-it-works .................................... ~ 1s
  2026-09-19 14:40:24 /build/assets/app-D77v-98-.css ............... ~ 0.41ms
  2026-09-19 14:40:24 /build/assets/app-D8MKG-Ji.js ................ ~ 3.48ms
  2026-09-19 14:40:40 /register ........................................ ~ 3s
  2026-09-19 14:42:07 /legal/terms ............................... ~ 581.70ms
  2026-09-19 14:42:08 /build/assets/app-D77v-98-.css ............... ~ 0.27ms
  2026-09-19 14:42:08 /build/assets/app-D8MKG-Ji.js ................ ~ 0.41ms
  2026-09-19 14:42:38 /legal/privacy ................................... ~ 1s
  2026-09-19 14:42:39 /build/assets/app-D77v-98-.css ............... ~ 1.16ms
  2026-09-19 14:42:39 /build/assets/app-D8MKG-Ji.js ................ ~ 3.13ms
  2026-09-19 14:43:05 /legal/refund-policy ....................... ~ 597.32ms
  2026-09-19 14:43:06 /build/assets/app-D77v-98-.css ............... ~ 1.16ms
  2026-09-19 14:43:06 /build/assets/app-D8MKG-Ji.js ................ ~ 3.59ms
  2026-09-19 14:43:35 /legal/acceptable-use ............................ ~ 1s
  2026-09-19 14:43:38 /build/assets/app-D8MKG-Ji.js ................ ~ 0.48ms
  2026-09-19 14:43:38 /build/assets/app-D77v-98-.css ............... ~ 2.51ms
  2026-09-19 14:43:45 /legal/cookie-policy ....................... ~ 535.58ms
  2026-09-19 14:43:46 /build/assets/app-D77v-98-.css ............... ~ 0.63ms
  2026-09-19 14:43:46 /build/assets/app-D8MKG-Ji.js ................ ~ 2.74ms
  2026-09-19 14:44:20 /contact ......................................... ~ 3s
  2026-09-19 14:44:23 /build/assets/app-D8MKG-Ji.js ................ ~ 0.59ms
  2026-09-19 14:44:23 /build/assets/app-D77v-98-.css ............... ~ 4.83ms
  2026-09-19 15:02:32 /login ........................................... ~ 1s
  2026-09-19 15:02:35 /register .................................. ~ 510.78ms
  2026-09-19 15:02:36 /forgot-password ........................... ~ 680.30ms
  2026-09-19 15:02:37 /dashboard ................................. ~ 503.91ms
  2026-09-19 15:02:38 /login ..................................... ~ 517.72ms
  2026-09-19 15:02:38 /settings/security ......................... ~ 504.72ms
  2026-09-19 15:02:39 /login ..................................... ~ 507.36ms
  2026-09-19 15:03:21 /login ........................................... ~ 1s
  2026-09-19 15:03:22 /register .................................. ~ 504.36ms
  2026-09-19 15:03:23 /forgot-password ........................... ~ 519.83ms
  2026-09-19 15:03:23 /dashboard ....................................... ~ 1s
  2026-09-19 15:03:24 /settings/security ........................... ~ 0.50ms
  2026-09-19 15:04:20 /register .................................. ~ 518.62ms
  2026-09-19 15:04:21 /build/assets/app-D77v-98-.css .............. ~ 23.31ms
  2026-09-19 15:04:21 /build/assets/app-D8MKG-Ji.js ............... ~ 26.12ms
  2026-09-19 15:04:22 /register ........................................ ~ 1s
  2026-09-19 15:04:24 /build/assets/app-D77v-98-.css ............... ~ 1.56ms
  2026-09-19 15:04:24 /build/assets/app-D8MKG-Ji.js ................ ~ 0.30ms
  2026-09-19 15:04:40 /login ........................................... ~ 1s
  2026-09-19 15:04:42 /build/assets/app-D77v-98-.css ............... ~ 0.38ms
  2026-09-19 15:04:42 /build/assets/app-D8MKG-Ji.js ................ ~ 1.72ms
  2026-09-19 15:04:54 /forgot-password ........................... ~ 630.85ms
  2026-09-19 15:04:55 /build/assets/app-D77v-98-.css ............... ~ 1.96ms
  2026-09-19 15:04:55 /build/assets/app-D8MKG-Ji.js ................ ~ 4.35ms
  2026-09-19 15:05:01 /login ........................................... ~ 1s
  2026-09-19 15:05:02 /build/assets/app-D77v-98-.css ............... ~ 3.56ms
  2026-09-19 15:05:02 /build/assets/app-D8MKG-Ji.js ............... ~ 12.92ms
  2026-09-19 15:05:06 /register .................................. ~ 611.78ms
  2026-09-19 15:05:08 /build/assets/app-D77v-98-.css ............... ~ 0.53ms
  2026-09-19 15:05:08 /build/assets/app-D8MKG-Ji.js ................ ~ 2.49ms
  2026-09-19 15:05:41 .............................................. ~ 2.82ms
  2026-09-19 15:05:41 /register ........................................ ~ 1s
  2026-09-19 15:05:42 /build/assets/app-D77v-98-.css ............... ~ 0.50ms
  2026-09-19 15:05:42 /build/assets/app-D8MKG-Ji.js ................ ~ 2.70ms
  2026-09-19 15:05:43 /register ........................................ ~ 1s
  2026-09-19 15:05:45 /build/assets/app-D77v-98-.css ............... ~ 0.43ms
  2026-09-19 15:05:45 /build/assets/app-D8MKG-Ji.js ................ ~ 0.34ms
  2026-09-19 15:05:45 /register ........................................ ~ 4s
