
   INFO  Server running on [http://127.0.0.1:8125].  

  Press Ctrl+C to stop the server
  2026-09-18 07:37:00 /build/assets/app-BosLBwkO.css ............. ~ 117.70ms
  2026-09-18 07:37:00 /build/assets/app-D8MKG-Ji.js .............. ~ 388.33ms
  2026-09-18 07:37:01 /faq ....................................... ~ 538.56ms
  2026-09-18 07:37:02 /build/assets/app-BosLBwkO.css ............. ~ 115.13ms
  2026-09-18 07:37:02 /build/assets/app-D8MKG-Ji.js .............. ~ 234.10ms
  2026-09-18 07:37:03 /contact ................................... ~ 573.55ms
  2026-09-18 07:37:03 /build/assets/app-BosLBwkO.css ............. ~ 133.46ms
  2026-09-18 07:37:03 /build/assets/app-D8MKG-Ji.js .............. ~ 762.08ms
  2026-09-18 07:37:05 /dev/design-system ............................... ~ 2s
  2026-09-18 07:37:08 /build/assets/app-BosLBwkO.css .............. ~ 61.76ms
  2026-09-18 07:37:08 /build/assets/app-D8MKG-Ji.js .............. ~ 469.65ms
  2026-09-18 07:37:09 /up .............................................. ~ 1s
